岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Dubbo、SpringBoot、Java等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,大专,5000,7876
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉机器学习、数据结构、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,博士,15894,27932
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉UI设计、交互设计、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,博士,14268,23693
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉数据结构、机器学习、算法等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,博士,27281,43121
数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉TensorFlow、深度学习、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,博士,24665,40271
架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉性能优化、系统架构、微服务等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,本科,6627,12259
项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉项目管理、风险控制、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,大专,12402,20512
运维工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Linux、运维、Docker等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,大专,5295,9916
前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉HTML、React、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,博士,12381,21136
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉问题排查、客户沟通、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,11803,23517
算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉机器学习、Python、算法等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,9115,17211
Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉MySQL、Django、Flask等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,大专,7113,12151
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉Python、Excel、Tableau等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,本科,9052,13948
架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉系统架构、微服务、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,大专,6339,10845
全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Node.js、React、MongoDB等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,本科,13303,23134
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉市场营销、活动策划、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,博士,25062,44070
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉Axure、需求分析、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,硕士,15138,28929
UI设计师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉UI设计、Figma、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,大专,6969,11650
Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Spring、Java、SpringBoot等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,本科,8907,15819
销售代表,分析市场趋势和竞争对手，制定市场策略。要求熟悉客户关系、商务谈判、销售等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,本科,13089,21409
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉客户关系、销售、业绩目标等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,本科,9626,16314
Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Flask、Django、Python等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,博士,15039,29439
人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉员工关系、培训、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,本科,8950,14670
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、深度学习、算法等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,本科,7795,13779
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉数据分析、Axure、产品设计等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,博士,23292,41954
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉JavaScript、MySQL、React等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,硕士,13540,22630
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉品牌建设、活动策划、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,大专,12285,20119
财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉财务报表、财务分析、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,本科,18881,28865
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉文档编写、问题排查、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,硕士,7750,14114
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉用户增长、数据分析、运营等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,本科,5191,8801
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉客户沟通、问题排查、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,苏州,150-500人,博士,15231,25829
财务分析师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉财务报表、预算编制、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,硕士,17460,26645
运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉监控、Docker、运维等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,大专,5125,9114
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉数据结构、算法、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,本科,6861,11981
算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉机器学习、数据结构、Python等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,大专,5882,10920
人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉招聘、员工关系、培训等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,本科,5000,8156
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉深度学习、数据结构、算法等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,博士,26392,43672
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉交互设计、用户体验、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,硕士,19354,29364
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Figma、Sketch、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,深圳,500-1000人,博士,22556,36416
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉测试、性能测试、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,硕士,9884,16207
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉数据结构、深度学习、算法等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,硕士,13804,23372
人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉员工关系、培训、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,本科,5000,7928
架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉微服务、技术选型、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,大专,6663,11281
项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉团队协调、进度控制、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,大专,11944,19125
架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉技术选型、微服务、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,本科,9247,16005
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉自动化测试、缺陷管理、测试等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,硕士,19849,31747
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉技术支持、客户沟通、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,博士,8221,17523
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉Tableau、Python、SQL等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,大专,7447,11436
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉用户体验、Sketch、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,博士,15073,24145
测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉自动化测试、性能测试、测试等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,大专,10534,18521
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Redis、Spring、Dubbo等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,本科,11003,18907
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉Python、统计学、SQL等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,本科,5588,10048
技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉技术支持、客户沟通、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,本科,6675,11680
运营专员,分析运营数据，优化运营策略和流程。要求熟悉活动策划、运营、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,博士,11450,18736
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Node.js、MySQL、MongoDB等相关技术，具备良好的沟通能力和团队协作精神。,天津,150-500人,大专,7443,11949
销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉业绩目标、客户关系、销售等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,硕士,16329,29109
财务分析师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉预算编制、Excel、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,本科,9571,15907
技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉客户沟通、问题排查、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,博士,15420,27458
前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉HTML、CSS、TypeScript等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,12521,20617
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉活动策划、市场营销、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,北京,500-1000人,硕士,25638,43485
产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉产品设计、需求分析、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,硕士,14328,25560
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉机器学习、深度学习、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,博士,16406,27557
Python开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Redis、Django、Flask等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,本科,11413,19605
项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉团队协调、进度控制、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,成都,500-1000人,硕士,19232,31587
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉需求分析、Axure、产品设计等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,本科,13726,24766
架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉微服务、技术选型、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,本科,7028,12378
全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉React、Node.js、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,本科,9162,16202
架构师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉性能优化、微服务、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,大专,7043,13443
测试工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉缺陷管理、自动化测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,硕士,12949,22001
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Python、TensorFlow、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,博士,45987,74067
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉HTML、Vue、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,本科,6886,11891
算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉深度学习、机器学习、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,博士,23551,41246
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉交互设计、UI设计、Sketch等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,博士,18633,32544
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉React、MongoDB、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,硕士,11269,19963
架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉微服务、性能优化、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,大专,8160,14386
运营专员,分析运营数据，优化运营策略和流程。要求熟悉数据分析、用户增长、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,硕士,8602,15024
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉TypeScript、JavaScript、React等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,硕士,8503,14826
数据分析师,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉Excel、Python、Tableau等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,9933,15527
项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉团队协调、风险控制、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,大专,16794,26509
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉产品设计、数据分析、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,博士,27731,47430
市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉品牌建设、渠道拓展、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,苏州,150-500人,大专,10056,17122
产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉数据分析、用户研究、需求分析等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,本科,10217,17724
数据科学家,负责数据分析和挖掘，为业务决策提供数据支持。要求熟悉TensorFlow、深度学习、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,博士,25872,47731
市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉活动策划、渠道拓展、品牌建设等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,本科,10061,17405
运营专员,策划运营活动，提升品牌影响力和用户增长。要求熟悉运营、活动策划、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,大专,5000,7073
市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉活动策划、品牌建设、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,大专,19862,30676
机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Python、模型调优、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,南京,150-500人,博士,14653,25597
架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉系统架构、微服务、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,博士,20614,35014
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉TensorFlow、Python、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,大专,20880,34128
全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Node.js、MongoDB、React等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,本科,5156,9616
测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉缺陷管理、测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,博士,14262,23236
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉JavaScript、Vue、HTML等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,硕士,15955,26480
项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉风险控制、进度控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,本科,14799,24514
架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉技术选型、性能优化、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,南京,500-1000人,博士,14500,26538
项目经理,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉团队协调、风险控制、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,博士,22856,36809
人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉培训、绩效考核、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,博士,7090,12904
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉React、MySQL、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,西安,少于50人,博士,11924,19953
数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉统计学、Tableau、Python等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,25381,37096
前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉CSS、TypeScript、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,博士,14796,27238
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉技术支持、问题排查、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,硕士,12836,22953
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉JavaScript、Node.js、MongoDB等相关技术，具备良好的沟通能力和团队协作精神。,西安,50-150人,硕士,9032,15514
运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉活动策划、数据分析、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,博士,9067,15547
项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉项目管理、团队协调、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,本科,7910,15206
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉问题排查、文档编写、客户沟通等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,博士,12150,20906
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉交互设计、Figma、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,博士,13944,23797
UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Sketch、用户体验、Figma等相关技术，具备良好的沟通能力和团队协作精神。,成都,1000人以上,硕士,13714,21577
机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉模型调优、特征工程、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,大专,5757,10544
项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉团队协调、项目管理、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,大专,14710,23542
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉客户沟通、技术支持、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,硕士,9891,17944
技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉客户沟通、问题排查、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,7353,12947
项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉团队协调、风险控制、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,大专,10030,16596
数据科学家,设计和维护数据报表，监控业务指标变化。要求熟悉PyTorch、深度学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,广州,50-150人,硕士,21631,37933
产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉用户研究、产品设计、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,硕士,14507,24741
算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉机器学习、算法、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,重庆,500-1000人,硕士,11861,19183
架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉微服务、性能优化、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,12576,24291
全栈开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉MongoDB、Node.js、MySQL等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,博士,12341,21096
算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉机器学习、算法、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,博士,11152,18986
Java后端开发,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Java、Spring、Redis等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,博士,22787,37763
人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉员工关系、绩效考核、招聘等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,博士,7395,13299
测试工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉性能测试、测试、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,硕士,9492,17912
UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉交互设计、Sketch、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,大专,8647,13575
人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉招聘、绩效考核、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,5451,8947
技术支持工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉问题排查、客户沟通、技术支持等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,硕士,13072,22266
前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Vue、React、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,本科,8317,14093
