发布日期,岗位标题,岗位描述,地区,公司规模,学历要求,薪资下限,薪资上限
2022-01-17,项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉项目管理、团队协调、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,大专,13198,22163
2022-01-18,机器学习工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉特征工程、机器学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,本科,9218,15444
2022-01-18,人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉绩效考核、招聘、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,博士,17067,27490
2022-01-18,市场经理,负责市场推广和品牌建设，拓展市场渠道。要求熟悉品牌建设、渠道拓展、活动策划等相关技术，具备良好的沟通能力和团队协作精神。,杭州,150-500人,硕士,21795,38220
2022-01-19,财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉财务分析、预算编制、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,本科,9019,14622
2022-01-20,Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Spring、Redis、Java等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,大专,10525,17484
2022-01-20,数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉深度学习、机器学习、TensorFlow等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,大专,12400,20618
2022-01-21,数据科学家,构建机器学习模型，解决实际业务问题。要求熟悉机器学习、深度学习、PyTorch等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,大专,14397,22615
2022-01-21,人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉培训、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,大专,5000,7577
2022-01-21,架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉技术选型、系统架构、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,8707,15108
2022-01-21,运维工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Docker、Linux、监控等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,大专,5303,9686
2022-01-22,产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉Axure、用户研究、产品设计等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,博士,17914,30966
2022-01-22,算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉数据结构、Python、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,本科,10008,17743
2022-01-22,前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Vue、React、CSS等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,硕士,13395,21202
2022-01-22,前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉CSS、Vue、TypeScript等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,大专,13356,22145
2022-01-23,人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉培训、招聘、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,深圳,150-500人,硕士,11932,19371
2022-01-23,算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉算法、Python、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,大专,11862,19948
2022-01-24,算法工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉算法、深度学习、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,本科,7818,13942
2022-01-24,全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉JavaScript、MongoDB、React等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,博士,10930,20455
2022-01-24,财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉预算编制、财务分析、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,博士,28942,46081
2022-01-25,技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉技术支持、文档编写、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,重庆,1000人以上,博士,13696,26353
2022-01-25,人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉员工关系、培训、招聘等相关技术，具备良好的沟通能力和团队协作精神。,重庆,50-150人,博士,9066,15329
2022-01-27,Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉SpringBoot、Java、Redis等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,博士,14057,26384
2022-01-27,产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉数据分析、Axure、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,上海,50-150人,硕士,26144,43512
2022-01-28,数据分析师,构建机器学习模型，解决实际业务问题。要求熟悉Tableau、SQL、统计学等相关技术，具备良好的沟通能力和团队协作精神。,天津,少于50人,大专,8463,12846
2022-01-29,项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉项目管理、风险控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,武汉,150-500人,本科,12813,22152
2022-01-29,财务分析师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Excel、财务分析、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,本科,16326,25701
2022-01-30,架构师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉性能优化、系统架构、微服务等相关技术，具备良好的沟通能力和团队协作精神。,杭州,少于50人,本科,9729,16888
2022-01-30,Python开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉Redis、FastAPI、Django等相关技术，具备良好的沟通能力和团队协作精神。,深圳,少于50人,本科,23277,42732
2022-01-30,数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉SQL、Excel、统计学等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,博士,17435,27745
2022-01-31,前端开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉CSS、HTML、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,本科,8212,13939
2022-01-31,全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉JavaScript、MongoDB、Node.js等相关技术，具备良好的沟通能力和团队协作精神。,上海,150-500人,硕士,16756,28944
2022-02-01,架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉微服务、性能优化、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,博士,12832,22819
2022-02-01,前端开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉JavaScript、TypeScript、CSS等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,大专,6346,11771
2022-02-01,架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉微服务、性能优化、技术选型等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,博士,16204,29990
2022-02-02,Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉Flask、Redis、Django等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,硕士,8767,16140
2022-02-02,Java后端开发,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Spring、Dubbo、Java等相关技术，具备良好的沟通能力和团队协作精神。,武汉,50-150人,本科,8828,14685
2022-02-02,测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉自动化测试、测试、缺陷管理等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,博士,17658,29407
2022-02-02,人力资源专员,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉绩效考核、培训、员工关系等相关技术，具备良好的沟通能力和团队协作精神。,成都,150-500人,大专,5000,8086
2022-02-02,算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉深度学习、机器学习、算法等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,本科,6968,12639
2022-02-03,财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉财务分析、Excel、预算编制等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,博士,19467,31673
2022-02-03,全栈开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉React、MongoDB、JavaScript等相关技术，具备良好的沟通能力和团队协作精神。,北京,少于50人,大专,9518,15929
2022-02-03,UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉用户体验、Sketch、交互设计等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,本科,10497,16970
2022-02-03,人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉招聘、培训、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,本科,7037,12023
2022-02-03,Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉MySQL、Redis、FastAPI等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,大专,6501,10693
2022-02-03,全栈开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Node.js、JavaScript、MongoDB等相关技术，具备良好的沟通能力和团队协作精神。,西安,1000人以上,硕士,14535,23813
2022-02-04,产品经理,协调研发、设计、运营团队，确保产品按时交付。要求熟悉需求分析、产品设计、用户研究等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,博士,32257,54581
2022-02-04,算法工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉机器学习、深度学习、数据结构等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,博士,63285,112827
2022-02-04,UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Figma、交互设计、用户体验等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,博士,22588,35067
2022-02-04,技术支持工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉技术支持、文档编写、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,成都,50-150人,硕士,11752,19813
2022-02-05,项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉团队协调、项目管理、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,大专,9982,17258
2022-02-05,测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉性能测试、缺陷管理、测试等相关技术，具备良好的沟通能力和团队协作精神。,西安,150-500人,本科,7435,13382
2022-02-05,运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉数据分析、活动策划、用户增长等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,硕士,14660,23853
2022-02-06,UI设计师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉UI设计、Sketch、Figma等相关技术，具备良好的沟通能力和团队协作精神。,天津,1000人以上,硕士,15150,23861
2022-02-07,销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉销售、业绩目标、商务谈判等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,本科,7109,12657
2022-02-07,项目经理,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉团队协调、项目管理、进度控制等相关技术，具备良好的沟通能力和团队协作精神。,广州,少于50人,硕士,21111,34334
2022-02-07,测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉自动化测试、测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,博士,22443,40824
2022-02-07,Python开发工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉FastAPI、Redis、Django等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,硕士,13748,25392
2022-02-08,运维工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉Linux、Docker、K8s等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,硕士,18262,32970
2022-02-09,数据分析师,设计和维护数据报表，监控业务指标变化。要求熟悉Excel、统计学、Tableau等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,博士,19788,32425
2022-02-10,产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉产品设计、数据分析、Axure等相关技术，具备良好的沟通能力和团队协作精神。,南京,1000人以上,大专,12853,22774
2022-02-10,销售代表,负责市场推广和品牌建设，拓展市场渠道。要求熟悉商务谈判、客户关系、销售等相关技术，具备良好的沟通能力和团队协作精神。,西安,500-1000人,本科,8700,15242
2022-02-10,产品经理,分析用户需求和市场动态，制定产品发展策略。要求熟悉用户研究、产品设计、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,广州,1000人以上,本科,20557,34917
2022-02-10,UI设计师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉用户体验、Sketch、UI设计等相关技术，具备良好的沟通能力和团队协作精神。,天津,500-1000人,本科,10135,16278
2022-02-11,市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉活动策划、品牌建设、渠道拓展等相关技术，具备良好的沟通能力和团队协作精神。,天津,50-150人,大专,11064,18340
2022-02-11,销售代表,策划营销活动，提升产品知名度和市场份额。要求熟悉销售、商务谈判、客户关系等相关技术，具备良好的沟通能力和团队协作精神。,重庆,少于50人,硕士,9372,15784
2022-02-12,技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉客户沟通、文档编写、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,苏州,少于50人,博士,16948,27157
2022-02-12,UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉UI设计、Sketch、Figma等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,博士,23799,38648
2022-02-12,人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉培训、员工关系、招聘等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,39918,64809
2022-02-13,市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉市场营销、活动策划、渠道拓展等相关技术，具备良好的沟通能力和团队协作精神。,苏州,1000人以上,大专,11769,21377
2022-02-14,前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉TypeScript、JavaScript、CSS等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,15844,29119
2022-02-14,市场经理,策划营销活动，提升产品知名度和市场份额。要求熟悉品牌建设、活动策划、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,本科,14755,24264
2022-02-14,算法工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉机器学习、Python、深度学习等相关技术，具备良好的沟通能力和团队协作精神。,北京,150-500人,硕士,14235,26492
2022-02-16,Python开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉MySQL、Redis、FastAPI等相关技术，具备良好的沟通能力和团队协作精神。,苏州,50-150人,本科,9269,15608
2022-02-16,市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉品牌建设、活动策划、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,本科,20583,37554
2022-02-17,架构师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉性能优化、微服务、系统架构等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,大专,7744,14083
2022-02-17,技术支持工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉问题排查、客户沟通、文档编写等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,大专,12126,21178
2022-02-17,前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉CSS、TypeScript、HTML等相关技术，具备良好的沟通能力和团队协作精神。,武汉,500-1000人,博士,17445,29651
2022-02-17,架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉微服务、技术选型、性能优化等相关技术，具备良好的沟通能力和团队协作精神。,重庆,150-500人,硕士,10398,17940
2022-02-17,UI设计师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉交互设计、用户体验、Figma等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,本科,12764,20601
2022-02-18,机器学习工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉模型调优、Python、机器学习等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,本科,9358,17336
2022-02-19,财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉预算编制、财务分析、财务报表等相关技术，具备良好的沟通能力和团队协作精神。,杭州,1000人以上,博士,36748,54764
2022-02-19,人力资源专员,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉员工关系、绩效考核、培训等相关技术，具备良好的沟通能力和团队协作精神。,杭州,50-150人,硕士,9442,15880
2022-02-19,项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉项目管理、风险控制、团队协调等相关技术，具备良好的沟通能力和团队协作精神。,南京,少于50人,博士,20157,35969
2022-02-20,架构师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉技术选型、系统架构、微服务等相关技术，具备良好的沟通能力和团队协作精神。,武汉,1000人以上,本科,9837,17235
2022-02-21,全栈开发工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MySQL、Node.js、React等相关技术，具备良好的沟通能力和团队协作精神。,深圳,1000人以上,本科,14919,25798
2022-02-21,项目经理,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉项目管理、团队协调、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,苏州,500-1000人,硕士,18291,32603
2022-02-22,市场经理,分析市场趋势和竞争对手，制定市场策略。要求熟悉活动策划、渠道拓展、市场营销等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,博士,30669,51974
2022-02-22,测试工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉缺陷管理、自动化测试、性能测试等相关技术，具备良好的沟通能力和团队协作精神。,武汉,少于50人,硕士,9636,16448
2022-02-23,产品经理,负责产品规划和设计，推动产品迭代优化。要求熟悉用户研究、产品设计、数据分析等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,本科,16395,30157
2022-02-23,运维工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉Docker、K8s、运维等相关技术，具备良好的沟通能力和团队协作精神。,成都,少于50人,博士,10766,20753
2022-02-23,项目经理,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉团队协调、项目管理、风险控制等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,本科,14633,27552
2022-02-24,人力资源专员,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉招聘、员工关系、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,博士,16966,28454
2022-02-24,前端开发工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉JavaScript、CSS、React等相关技术，具备良好的沟通能力和团队协作精神。,深圳,50-150人,大专,11709,18599
2022-02-25,Java后端开发,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉MySQL、Redis、Java等相关技术，具备良好的沟通能力和团队协作精神。,南京,50-150人,硕士,10718,19227
2022-02-25,人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉招聘、培训、绩效考核等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,本科,8369,13967
2022-02-26,运营专员,负责日常运营工作，提升用户活跃度和留存率。要求熟悉数据分析、活动策划、运营等相关技术，具备良好的沟通能力和团队协作精神。,北京,1000人以上,硕士,13137,22329
2022-02-26,前端开发工程师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉CSS、HTML、React等相关技术，具备良好的沟通能力和团队协作精神。,上海,少于50人,博士,20234,34438
2022-02-26,财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉预算编制、Excel、财务分析等相关技术，具备良好的沟通能力和团队协作精神。,上海,500-1000人,硕士,22245,35520
2022-02-27,人力资源专员,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉绩效考核、培训、招聘等相关技术，具备良好的沟通能力和团队协作精神。,杭州,500-1000人,博士,17107,27428
2022-02-27,财务分析师,负责公司核心产品的开发与维护，参与技术方案设计。要求熟悉财务分析、预算编制、Excel等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,大专,9203,15585
2022-02-27,算法工程师,参与系统架构设计，优化系统性能，提升用户体验。要求熟悉机器学习、深度学习、Python等相关技术，具备良好的沟通能力和团队协作精神。,上海,1000人以上,本科,16805,27945
2022-02-27,技术支持工程师,参与需求分析，提供技术解决方案，推动项目落地。要求熟悉文档编写、技术支持、问题排查等相关技术，具备良好的沟通能力和团队协作精神。,北京,50-150人,本科,11149,20106
2022-02-28,测试工程师,负责后端服务开发，确保代码质量和系统稳定性。要求熟悉性能测试、缺陷管理、自动化测试等相关技术，具备良好的沟通能力和团队协作精神。,广州,150-500人,博士,19930,34290
