订单ID,订单日期,用户ID,商品ID,商品名称,商品类别,单价,数量,总价,支付方式
ORD000025,2024-02-10,USER006,PROD024,雷蛇灵刃16,电脑办公,19999,1,19999,支付宝
ORD000026,2024-02-11,USER017,PROD002,MacBook Pro 14,电脑办公,14999,1,14999,微信
ORD000027,2024-02-12,USER008,PROD025,机械键盘,电脑办公,899,3,2697,支付宝
ORD000028,2024-02-13,USER018,PROD026,游戏鼠标,电脑办公,499,2,998,微信
ORD000029,2024-02-14,USER007,PROD027,显示器27寸,电脑办公,1999,1,1999,支付宝
ORD000030,2024-02-15,USER019,PROD028,路由器,电脑办公,599,1,599,微信
ORD000031,2024-03-01,USER001,PROD029,AirTag,手机数码,229,4,916,支付宝
ORD000032,2024-03-02,USER020,PROD030,HomePod mini,手机数码,749,2,1498,微信
ORD000033,2024-03-03,USER004,PROD031,Apple TV 4K,手机数码,1299,1,1299,支付宝
ORD000034,2024-03-04,USER009,PROD032,MagSafe充电器,手机数码,329,1,329,微信
ORD000035,2024-03-05,USER021,PROD001,iPhone 15 Pro,手机数码,7999,1,7999,支付宝
ORD000036,2024-03-06,USER022,PROD033,小米平板6,电脑办公,1999,1,1999,微信
ORD000037,2024-03-07,USER023,PROD034,华为MatePad Pro,电脑办公,3999,1,3999,支付宝
ORD000038,2024-03-08,USER010,PROD035,荣耀平板V8,电脑办公,1799,1,1799,微信
ORD000039,2024-03-09,USER024,PROD036,三星Tab S9,电脑办公,5999,1,5999,支付宝
ORD000040,2024-03-10,USER011,PROD037,OPPO Pad 2,电脑办公,2999,1,2999,微信
ORD000041,2024-03-11,USER025,PROD038,vivo Pad 2,电脑办公,2499,1,2499,支付宝
ORD000042,2024-03-12,USER026,PROD039,小新Pad Pro,电脑办公,1999,1,1999,微信
ORD000043,2024-03-13,USER027,PROD040,红魔9 Pro,手机数码,4999,1,4999,支付宝
ORD000044,2024-03-14,USER028,PROD041,黑鲨5 Pro,手机数码,3999,1,3999,微信
ORD000045,2024-03-15,USER012,PROD042,ROG游戏手机7,手机数码,5999,1,5999,支付宝
ORD000046,2024-04-01,USER002,PROD043,iPhone 15 Pro Max,手机数码,9999,1,9999,微信
ORD000047,2024-04-02,USER005,PROD044,华为Mate X5,手机数码,15999,1,15999,支付宝
ORD000048,2024-04-03,USER029,PROD045,三星Galaxy Z Fold5,手机数码,12999,1,12999,微信
ORD000049,2024-04-04,USER030,PROD046,荣耀Magic V2,手机数码,8999,1,8999,支付宝
ORD000050,2024-04-05,USER031,PROD047,OPPO Find N3,手机数码,9999,1,9999,微信
ORD000051,2024-04-06,USER032,PROD048,vivo X Fold2,手机数码,8999,1,8999,支付宝
ORD000052,2024-04-07,USER033,PROD049,小米MIX Fold3,手机数码,8999,1,8999,微信
ORD000053,2024-04-08,USER034,PROD050,谷歌Pixel Fold,手机数码,10999,1,10999,支付宝
ORD000054,2024-04-09,USER006,PROD051,Surface Pro 9,电脑办公,9999,1,9999,微信
ORD000055,2024-04-10,USER007,PROD052,ThinkPad X1 Carbon,电脑办公,11999,1,11999,支付宝
ORD000056,2024-04-11,USER035,PROD053,MacBook Air M3,电脑办公,8999,1,8999,微信
ORD000057,2024-04-12,USER036,PROD054,iMac 24,电脑办公,10999,1,10999,支付宝
ORD000058,2024-04-13,USER037,PROD055,Mac mini M2,电脑办公,4499,1,4499,微信
ORD000059,2024-04-14,USER038,PROD056,Mac Studio,电脑办公,16499,1,16499,支付宝
ORD000060,2024-04-15,USER015,PROD057,Mac Pro,电脑办公,59999,1,59999,微信
